,Price1,Date_time,Open,Prev_close,Day_high,Day_low,Change1
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,171.00","Nov 22,2021 12:35 PM","1,188.10","1,186.60","1,196.80","1,161.60",-15.6
1,"1,176.90","Nov 22,2021 12:43 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.7
1,"1,176.95","Nov 22,2021 12:43 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.65
1,"1,176.25","Nov 22,2021 12:44 PM","1,188.10","1,186.60","1,196.80","1,161.60",-10.35
1,"1,176.25","Nov 22,2021 12:44 PM","1,188.10","1,186.60","1,196.80","1,161.60",-10.35
1,"1,179.10","Nov 22,2021 12:45 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.5
1,"1,178.50","Nov 22,2021 12:45 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.1
1,"1,178.80","Nov 22,2021 12:46 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.8
1,"1,178.65","Nov 22,2021 12:46 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.95
1,"1,177.20","Nov 22,2021 12:47 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.4
1,"1,177.50","Nov 22,2021 12:47 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.1
1,"1,176.90","Nov 22,2021 12:48 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.7
1,"1,177.25","Nov 22,2021 12:48 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.35
1,"1,178.15","Nov 22,2021 12:49 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.45
1,"1,177.95","Nov 22,2021 12:49 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.65
1,"1,177.95","Nov 22,2021 12:50 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.65
1,"1,177.00","Nov 22,2021 12:50 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.6
1,"1,178.90","Nov 22,2021 12:51 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.7
1,"1,178.80","Nov 22,2021 12:51 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.8
1,"1,177.00","Nov 22,2021 12:52 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.6
1,"1,177.05","Nov 22,2021 12:52 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.55
1,"1,178.70","Nov 22,2021 12:53 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.9
1,"1,178.30","Nov 22,2021 12:53 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.3
1,"1,177.50","Nov 22,2021 12:54 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.1
1,"1,178.45","Nov 22,2021 12:54 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.15
1,"1,178.30","Nov 22,2021 12:55 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.3
1,"1,178.85","Nov 22,2021 12:55 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.75
1,"1,178.05","Nov 22,2021 12:56 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.55
1,"1,178.50","Nov 22,2021 12:56 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.1
1,"1,179.00","Nov 22,2021 12:57 PM","1,188.10","1,186.60","1,196.80","1,161.60",-7.6
1,"1,178.60","Nov 22,2021 12:57 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8
1,"1,176.20","Nov 22,2021 12:58 PM","1,188.10","1,186.60","1,196.80","1,161.60",-10.4
1,"1,175.45","Nov 22,2021 12:58 PM","1,188.10","1,186.60","1,196.80","1,161.60",-11.15
1,"1,174.30","Nov 22,2021 12:59 PM","1,188.10","1,186.60","1,196.80","1,161.60",-12.3
1,"1,173.50","Nov 22,2021 12:59 PM","1,188.10","1,186.60","1,196.80","1,161.60",-13.1
1,"1,174.55","Nov 22,2021 01:00 PM","1,188.10","1,186.60","1,196.80","1,161.60",-12.05
1,"1,174.55","Nov 22,2021 01:00 PM","1,188.10","1,186.60","1,196.80","1,161.60",-12.05
1,"1,175.05","Nov 22,2021 01:01 PM","1,188.10","1,186.60","1,196.80","1,161.60",-11.55
1,"1,175.80","Nov 22,2021 01:01 PM","1,188.10","1,186.60","1,196.80","1,161.60",-10.8
1,"1,177.45","Nov 22,2021 01:02 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.15
1,"1,177.95","Nov 22,2021 01:02 PM","1,188.10","1,186.60","1,196.80","1,161.60",-8.65
1,"1,176.75","Nov 22,2021 01:03 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9.85
1,"1,177.60","Nov 22,2021 01:03 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9
1,"1,177.60","Nov 22,2021 01:04 PM","1,188.10","1,186.60","1,196.80","1,161.60",-9
