Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
23-11-2021,10:18:05,75657.6,75800,76299.95,3332,499.95,0.659564644,17351.95
23-11-2021,10:19:05,75657.6,75800,76330.9,3351,530.9,0.700395778,17356.2
23-11-2021,10:20:10,75657.6,75800,76329.95,3357,529.95,0.69914248,17356.35
23-11-2021,10:21:05,75657.6,75800,76274.35,3366,474.35,0.625791557,17346.8
23-11-2021,10:22:05,75657.6,75800,76234.45,3383,434.45,0.573153034,17349.5
23-11-2021,10:23:05,75657.6,75800,76300,3397,500,0.659630607,17359.1
23-11-2021,10:24:05,75657.6,75800,76271.2,3409,471.2,0.621635884,17363.55
23-11-2021,10:25:05,75657.6,75800,76381.75,3416,581.75,0.767480211,17367.15
23-11-2021,10:26:05,75657.6,75800,76281,3423,481,0.634564644,17356.3
23-11-2021,10:27:05,75657.6,75800,76200.35,3438,400.35,0.528166227,17356.2
23-11-2021,10:28:05,75657.6,75800,76233.3,3451,433.3,0.571635884,17362.75
23-11-2021,10:29:05,75657.6,75800,76342.75,3472,542.75,0.716029024,17367.3
23-11-2021,10:30:05,75657.6,75800,76300,3481,500,0.659630607,17371.8
23-11-2021,10:31:05,75657.6,75800,76294.85,3488,494.85,0.652836412,17374.95
23-11-2021,10:32:05,75657.6,75800,76223.45,3498,423.45,0.558641161,17378.7
23-11-2021,10:33:05,75657.6,75800,76280,3518,480,0.633245383,17392
23-11-2021,10:34:05,75657.6,75800,76279.45,3531,479.45,0.632519789,17393.15
23-11-2021,10:35:05,75657.6,75800,76180,3566,380,0.501319261,17383.5
23-11-2021,10:36:05,75657.6,75800,76209.25,3577,409.25,0.539907652,17385.75
23-11-2021,10:37:05,75657.6,75800,76232.25,3580,432.25,0.57025066,17377.2
23-11-2021,10:38:05,75657.6,75800,76180,3582,380,0.501319261,17373.85
23-11-2021,10:39:05,75657.6,75800,76200,3599,400,0.527704485,17369.05
23-11-2021,10:40:05,75657.6,75800,76248.9,3603,448.9,0.592216359,17383
23-11-2021,10:41:05,75657.6,75800,76248.9,3626,448.9,0.592216359,17382.05
23-11-2021,10:42:05,75657.6,75800,76248.9,3638,448.9,0.592216359,17383.8
23-11-2021,10:43:05,75657.6,75800,76399.95,3677,599.95,0.791490765,17390.95
23-11-2021,10:44:05,75657.6,75800,76304.25,3687,504.25,0.665237467,17379.75
23-11-2021,10:45:05,75657.6,75800,76274.7,3723,474.7,0.626253298,17381.8
23-11-2021,10:46:05,75657.6,75800,76237.35,3734,437.35,0.576978892,17375.35
23-11-2021,10:47:05,75657.6,75800,76250,3728,592.4,0.783001311,17368
23-11-2021,10:48:05,75657.6,75800,76070,3743,412.4,0.545087341,17361
23-11-2021,10:49:05,75657.6,75800,76100,3757,442.4,0.584739669,17363
23-11-2021,10:50:05,75657.6,75800,76154,3772,496.4,0.65611386,17375
23-11-2021,10:51:05,75657.6,75800,76150,3787,492.4,0.650826883,17368.75
23-11-2021,10:52:05,75657.6,75800,76249,3801,591.4,0.781679567,17372
23-11-2021,10:53:05,75657.6,75800,76154,3816,496.4,0.65611386,17372
23-11-2021,10:54:05,75657.6,75800,76200,3831,542.4,0.716914097,17370
23-11-2021,10:55:05,75657.6,75800,76200,3845,542.4,0.716914097,17371
23-11-2021,10:56:05,75657.6,75800,76244,3860,586.4,0.775070845,17381
23-11-2021,10:57:05,75657.6,75800,76244,3875,586.4,0.775070845,17381
23-11-2021,10:58:05,75657.6,75800,76244.95,3889,587.35,0.776326503,17367
23-11-2021,10:59:05,75657.6,75800,76240,3904,582.4,0.769783868,17435
23-11-2021,11:00:05,75657.6,75800,76201,3919,543.4,0.718235841,17373
23-11-2021,11:01:05,75657.6,75800,76219,3933,561.4,0.742027239,17377
23-11-2021,11:02:05,75657.6,75800,76199,3948,541.4,0.715592353,17373
23-11-2021,11:03:05,75657.6,75800,76219,3963,561.4,0.742027239,17375
23-11-2021,11:04:05,75657.6,75800,76150,3977,492.4,0.650826883,17435
23-11-2021,11:05:05,75657.6,75800,76220,3992,562.4,0.743348983,17383
23-11-2021,11:06:05,75657.6,75800,76159,4007,501.4,0.662722582,17385
23-11-2021,11:07:05,75657.6,75800,76150,4021,492.4,0.650826883,17383
23-11-2021,11:08:05,75657.6,75800,76209,4036,551.4,0.728809796,17383
23-11-2021,11:09:05,75657.6,75800,76219,4051,561.4,0.742027239,17382
23-11-2021,11:10:05,75657.6,75800,76191,4065,533.4,0.705018399,17386
23-11-2021,11:11:05,75657.6,75800,76160,4080,502.4,0.664044326,17384
23-11-2021,11:12:05,75657.6,75800,76105,4095,447.4,0.591348391,17382.85
23-11-2021,11:13:05,75657.6,75800,76098,4109,440.4,0.582096181,17390.9
23-11-2021,11:14:05,75657.6,75800,76010,4124,352.4,0.465782684,17385.25
23-11-2021,11:15:05,75657.6,75800,76063,4139,405.4,0.535835131,17382.85
23-11-2021,11:16:05,75657.6,75800,76199,4153,541.4,0.715592353,17377.15
23-11-2021,11:17:05,75657.6,75800,75990,4168,332.4,0.439347799,17382
23-11-2021,11:18:05,75657.6,75800,75950,4183,292.4,0.386478027,17384.65
23-11-2021,11:19:05,75657.6,75800,76019,4197,361.4,0.477678383,17384.1
23-11-2021,11:20:05,75657.6,75800,75966,4212,308.4,0.407625936,17458
23-11-2021,11:21:05,75657.6,75800,76019,4227,361.4,0.477678383,17458.85
23-11-2021,11:22:05,75657.6,75800,76039,4241,381.4,0.504113268,17385
23-11-2021,11:23:05,75657.6,75800,76041,4256,383.4,0.506756757,17458
23-11-2021,11:24:05,75657.6,75800,76067,4271,409.4,0.541122108,17387.7
23-11-2021,11:25:05,75657.6,75800,76100,4285,442.4,0.584739669,17384.55
23-11-2021,11:26:05,75657.6,75800,76105,4300,447.4,0.591348391,17365.55
23-11-2021,11:27:05,75657.6,75800,76128.66667,4315,471.0666667,0.622629672,17377.75
23-11-2021,11:28:05,75657.6,75800,76190,4329,532.4,0.703696654,17413.55
23-11-2021,11:29:05,75657.6,75800,76237,4344,579.4,0.765818636,17427.35
23-11-2021,11:30:05,75657.6,75800,76150,4359,492.4,0.650826883,17419
23-11-2021,11:31:05,75657.6,75800,76224,4373,566.4,0.74863596,17435.6
23-11-2021,11:32:05,75657.6,75800,76180,4388,522.4,0.690479212,17432
23-11-2021,11:33:05,75657.6,75800,76160,4403,502.4,0.664044326,17434.9
23-11-2021,11:34:05,75657.6,75800,76224,4417,566.4,0.74863596,17455
23-11-2021,11:35:05,75657.6,75800,76223,4432,565.4,0.747314216,17455.35
23-11-2021,11:36:05,75657.6,75800,76164,4447,506.4,0.669331303,17434.85
23-11-2021,11:37:05,75657.6,75800,76223,4461,565.4,0.747314216,17430.3
23-11-2021,11:38:05,75657.6,75800,76166,4476,508.4,0.671974792,17433.85
23-11-2021,11:39:05,75657.6,75800,76180,4491,522.4,0.690479212,17436.8
23-11-2021,11:40:05,75657.6,75800,76190,4505,532.4,0.703696654,17431.45
23-11-2021,11:41:05,75657.6,75800,76190,4520,532.4,0.703696654,17434.2
23-11-2021,11:42:05,75657.6,75800,76222,4535,564.4,0.745992471,17442.25
23-11-2021,11:43:05,75657.6,75800,76222.5,4549,564.9,0.746653343,17443.9
23-11-2021,11:44:05,75657.6,75800,76223,4564,565.4,0.747314216,17443.05
23-11-2021,11:45:05,75657.6,75800,76223.5,4579,565.9,0.747975088,17438
23-11-2021,11:46:05,75657.6,75800,76224,4593,566.4,0.74863596,17440.05
23-11-2021,11:47:05,75657.6,75800,76224,4608,566.4,0.74863596,17433.15
